Strain	Date
hCoV-19/Nigeria/CV719/2021|EPI_ISL_1093466|2021-01-02	2021-01-02
hCoV-19/Nigeria/CV727/2020|EPI_ISL_1093467|2020-12-29	2020-12-29
hCoV-19/Nigeria/CV728/2020|EPI_ISL_1093468|2020-12-27	2020-12-27
hCoV-19/Nigeria/CV729/2021|EPI_ISL_1093469|2021-01-02	2021-01-02
hCoV-19/Nigeria/CV731/2021|EPI_ISL_1093470|2021-01-02	2021-01-02
hCoV-19/Nigeria/CV732/2021|EPI_ISL_1093471|2021-01-03	2021-01-03
hCoV-19/Nigeria/CV735/2021|EPI_ISL_1093472|2021-01-05	2021-01-05
hCoV-19/Nigeria/CV739/2021|EPI_ISL_1093473|2021-01-05	2021-01-05
hCoV-19/Belgium/Jessa_55-2108-000244/2021|EPI_ISL_1098886|2021-02-23	2021-02-23
hCoV-19/Denmark/DCGC-48154/2021|EPI_ISL_1123736|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48539/2021|EPI_ISL_1124603|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49547/2021|EPI_ISL_1125938|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50163/2021|EPI_ISL_1126554|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50189/2021|EPI_ISL_1126580|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50648/2021|EPI_ISL_1127039|2021-02-15	2021-02-15
hCoV-19/Germany/NW-RKI-I-023540/2021|EPI_ISL_1153708|2021-02-09	2021-02-09
hCoV-19/Germany/NW-RKI-I-025365/2021|EPI_ISL_1155539|2021-02-16	2021-02-16
