Strain	Date
hCoV-19/USA/WV-WVU-WV091027/2021|EPI_ISL_1624981|2021-03-30	2021-03-30
hCoV-19/Germany/BE-RKI-I-071276/2021|EPI_ISL_1638287|2021-04-03	2021-04-03
hCoV-19/Germany/SN-RKI-I-073430/2021|EPI_ISL_1640138|2021-04-06	2021-04-06
hCoV-19/Italy/LOM-HSacco110/2021|EPI_ISL_1649798|2021-02-18	2021-02-18
hCoV-19/England/CAMC-14F3CC9/2021|EPI_ISL_1653428|2021-04-09	2021-04-09
hCoV-19/USA/WA-PHL-000358/2021|EPI_ISL_1653817|2021-03-30	2021-03-30
hCoV-19/Switzerland/ZH-ETHZ-571397/2021|EPI_ISL_1659194|2021-04-08	2021-04-08
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-8926/2021|EPI_ISL_1673424|2021-04-02	2021-04-02
hCoV-19/Slovenia/vero-65748-3p/2021|EPI_ISL_1675246|2021-02-05	2021-02-05
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-9352/2021|EPI_ISL_1692649|2021-04-02	2021-04-02
hCoV-19/Nigeria/CV925/2021|EPI_ISL_1715364|2021-01-03	2021-01-03
hCoV-19/Nigeria/CV934/2021|EPI_ISL_1715370|2021-01-03	2021-01-03
hCoV-19/Nigeria/CV936/2021|EPI_ISL_1715371|2021-01-08	2021-01-08
hCoV-19/Nigeria/CV942/2021|EPI_ISL_1715374|2021-01-08	2021-01-08
hCoV-19/Nigeria/CV946/2021|EPI_ISL_1715376|2021-01-08	2021-01-08
hCoV-19/USA/MA-CDC-ASC210041702/2021|EPI_ISL_1737184|2021-04-01	2021-04-01
hCoV-19/France/IDF-HMN-21032260307/2021|EPI_ISL_1754998|2021-03-23	2021-03-23
hCoV-19/France/IDF-HMN-21042020419/2021|EPI_ISL_1755433|2021-03-30	2021-03-30
hCoV-19/USA/MN-MDH-5950/2021|EPI_ISL_1789618|2021-04-05	2021-04-05
hCoV-19/France/IDF-SLS762103043726/2021|EPI_ISL_1797614|2021-03-11	2021-03-11
hCoV-19/Togo/C6228/2021|EPI_ISL_1800014|2021-02-03	2021-02-03
hCoV-19/Italy/TAA-1900564005/2021|EPI_ISL_1804911|2021-04-14	2021-04-14
hCoV-19/Italy/TAA-1900564226/2021|EPI_ISL_1804916|2021-04-14	2021-04-14
hCoV-19/Italy/TAA-1900564782/2021|EPI_ISL_1804923|2021-04-15	2021-04-15
hCoV-19/Italy/SIC-CQRC-21034048/2021|EPI_ISL_1804970|2021-04-14	2021-04-14
hCoV-19/India/TG-CCMB-BJ142/2021|EPI_ISL_1838718|2021-03-08	2021-03-08
hCoV-19/India/TG-CCMB-BJ143/2021|EPI_ISL_1838719|2021-03-08	2021-03-08
hCoV-19/India/TG-CCMB-BJ146/2021|EPI_ISL_1838722|2021-03-08	2021-03-08
hCoV-19/India/TG-CCMB-BJ485/2021|EPI_ISL_1838748|2021-03-15	2021-03-15
hCoV-19/India/TG-CCMB-BJ839/2021|EPI_ISL_1838768|2021-03-17	2021-03-17
hCoV-19/India/TG-CCMB-BK627/2021|EPI_ISL_1838786|2021-03-24	2021-03-24
hCoV-19/India/TG-CCMB-BK639/2021|EPI_ISL_1838789|2021-03-24	2021-03-24
hCoV-19/India/TG-CCMB-BL372/2021|EPI_ISL_1838798|2021-03-26	2021-03-26
hCoV-19/Germany/BE-RKI-I-101800/2021|EPI_ISL_1847204|2021-04-12	2021-04-12
hCoV-19/Germany/RP-RKI-I-101813/2021|EPI_ISL_1847217|2021-04-15	2021-04-15
hCoV-19/Germany/BE-RKI-I-101817/2021|EPI_ISL_1847221|2021-04-16	2021-04-16
hCoV-19/Germany/NW-RKI-I-104930/2021|EPI_ISL_1849448|2021-04-22	2021-04-22
hCoV-19/USA/NC-UNC-1030/2021|EPI_ISL_1854858|2021-04-16	2021-04-16
hCoV-19/Denmark/DCGC-50882/2021|EPI_ISL_1858326|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-51069/2021|EPI_ISL_1858702|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-51471/2021|EPI_ISL_1859259|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-51499/2021|EPI_ISL_1859287|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-52148/2021|EPI_ISL_1860202|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-52186/2021|EPI_ISL_1860240|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-53051/2021|EPI_ISL_1861105|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-53076/2021|EPI_ISL_1861130|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-53801/2021|EPI_ISL_1862020|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-54451/2021|EPI_ISL_1862879|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54466/2021|EPI_ISL_1862894|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54471/2021|EPI_ISL_1862899|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-55291/2021|EPI_ISL_1863719|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-56146/2021|EPI_ISL_1864646|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-56153/2021|EPI_ISL_1864653|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-56185/2021|EPI_ISL_1864685|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-57445/2021|EPI_ISL_1865945|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-57832/2021|EPI_ISL_1866332|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-57865/2021|EPI_ISL_1866365|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-60448/2021|EPI_ISL_1869019|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-60451/2021|EPI_ISL_1869022|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-60470/2021|EPI_ISL_1869041|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-60476/2021|EPI_ISL_1869047|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-60523/2021|EPI_ISL_1869094|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-60856/2021|EPI_ISL_1869427|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-60921/2021|EPI_ISL_1869492|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-60925/2021|EPI_ISL_1869496|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-61431/2021|EPI_ISL_1870002|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-62320/2021|EPI_ISL_1870891|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-62325/2021|EPI_ISL_1870896|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-63168/2021|EPI_ISL_1871739|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-63171/2021|EPI_ISL_1871742|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-64084/2021|EPI_ISL_1872655|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-64103/2021|EPI_ISL_1872674|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-64527/2021|EPI_ISL_1873098|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-65357/2021|EPI_ISL_1873928|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-65386/2021|EPI_ISL_1873957|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-65413/2021|EPI_ISL_1873984|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-65870/2021|EPI_ISL_1874441|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-66702/2021|EPI_ISL_1875273|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-66778/2021|EPI_ISL_1875349|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-68064/2021|EPI_ISL_1876635|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-68461/2021|EPI_ISL_1877032|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-70723/2021|EPI_ISL_1879294|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-71138/2021|EPI_ISL_1879709|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-72099/2021|EPI_ISL_1880670|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-72976/2021|EPI_ISL_1881547|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-73471/2021|EPI_ISL_1882042|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-74288/2021|EPI_ISL_1882859|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-74324/2021|EPI_ISL_1882895|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-74808/2021|EPI_ISL_1883379|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-75688/2021|EPI_ISL_1884259|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-75723/2021|EPI_ISL_1884294|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-77350/2021|EPI_ISL_1885945|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-79064/2021|EPI_ISL_1887705|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-79066/2021|EPI_ISL_1887707|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-79088/2021|EPI_ISL_1887729|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-79508/2021|EPI_ISL_1888149|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-79552/2021|EPI_ISL_1888193|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-80404/2021|EPI_ISL_1889045|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-80457/2021|EPI_ISL_1889098|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-81265/2021|EPI_ISL_1889907|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-81298/2021|EPI_ISL_1889940|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-81359/2021|EPI_ISL_1890001|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-81374/2021|EPI_ISL_1890016|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-82501/2021|EPI_ISL_1891310|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-83273/2021|EPI_ISL_1892284|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-83276/2021|EPI_ISL_1892287|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-83277/2021|EPI_ISL_1892288|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-83542/2021|EPI_ISL_1892607|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-84025/2021|EPI_ISL_1893191|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-84666/2021|EPI_ISL_1893976|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-84673/2021|EPI_ISL_1893983|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-84680/2021|EPI_ISL_1893990|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-84725/2021|EPI_ISL_1894035|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-84732/2021|EPI_ISL_1894042|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-85124/2021|EPI_ISL_1894439|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-85161/2021|EPI_ISL_1894479|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-85510/2021|EPI_ISL_1894828|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-85982/2021|EPI_ISL_1895303|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-86038/2021|EPI_ISL_1895359|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-86449/2021|EPI_ISL_1895770|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-87292/2021|EPI_ISL_1896651|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-87307/2021|EPI_ISL_1896666|2021-03-22	2021-03-22
hCoV-19/Belgium/AZDelta/11566-2115L/2021|EPI_ISL_1904330|2021-04-14	2021-04-14
hCoV-19/Germany/BW-ChVir-LB-210416-5785/2021|EPI_ISL_1905108|2021-04-01	2021-04-01
hCoV-19/Spain/AS-242171377/2021|EPI_ISL_1913252|2021-04-12	2021-04-12
hCoV-19/USA/MD-HP03588/2021|EPI_ISL_1973339|2021-03-22	2021-03-22
hCoV-19/USA/MD-HP03736/2021|EPI_ISL_1973346|2021-03-25	2021-03-25
hCoV-19/Italy/UMB-IZSGC-246561/2021|EPI_ISL_2001431|2021-04-20	2021-04-20
hCoV-19/USA/WA-UW-21041771742/2021|EPI_ISL_2002281|2021-04-17	2021-04-17
hCoV-19/USA/WA-UW-21041981435/2021|EPI_ISL_2002694|2021-04-19	2021-04-19
hCoV-19/Germany/BY-MVP-000005718/2021|EPI_ISL_2006684|2021-04-22	2021-04-22
hCoV-19/France/ARA-HCL021079766501/2021|EPI_ISL_2015999|2021-04-26	2021-04-26
hCoV-19/France/ARA-HCL021079780101/2021|EPI_ISL_2016006|2021-04-23	2021-04-23
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-11227/2021|EPI_ISL_2020526|2021-04-15	2021-04-15
hCoV-19/Ireland/D-NVRL-21IRL49971/2021|EPI_ISL_2029351|2021-04-27	2021-04-27
hCoV-19/Ireland/D-NVRL-22IRL45269/2021|EPI_ISL_2029352|2021-04-26	2021-04-26
hCoV-19/Netherlands/LI-RIVM-30841/2021|EPI_ISL_2094351|2021-04-20	2021-04-20
hCoV-19/USA/NY-PRL-0512_00C20/2021|EPI_ISL_2106547|2021-05-11	2021-05-11
hCoV-19/USA/NY-PRL-0512_00B18/2021|EPI_ISL_2106548|2021-05-10	2021-05-10
hCoV-19/Germany/NW-RKI-I-133129/2021|EPI_ISL_2115485|2021-04-26	2021-04-26
hCoV-19/Germany/NW-RKI-I-133139/2021|EPI_ISL_2115495|2021-04-29	2021-04-29
hCoV-19/Germany/BE-RKI-I-137076/2021|EPI_ISL_2120481|2021-05-04	2021-05-04
hCoV-19/Germany/RP-RKI-I-138692/2021|EPI_ISL_2123425|2021-05-07	2021-05-07
hCoV-19/France/COR-HCL021080734001/2021|EPI_ISL_2142669|2021-04-23	2021-04-23
hCoV-19/Spain/PV-HUB-52238949/2021|EPI_ISL_2164421|2021-04-28	2021-04-28
hCoV-19/Canada/ABPHL-11619/2021|EPI_ISL_2169290|2021-03-31	2021-03-31
hCoV-19/Canada/ABPHL-11623/2021|EPI_ISL_2169294|2021-04-01	2021-04-01
hCoV-19/Canada/ABPHL-11626/2021|EPI_ISL_2169297|2021-03-31	2021-03-31
hCoV-19/Canada/ABPHL-12057/2021|EPI_ISL_2169655|2021-04-07	2021-04-07
hCoV-19/Canada/ABPHL-12065/2021|EPI_ISL_2169663|2021-04-07	2021-04-07
hCoV-19/Canada/ABPHL-12072/2021|EPI_ISL_2169670|2021-04-07	2021-04-07
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-12893/2021|EPI_ISL_2171556|2021-05-01	2021-05-01
hCoV-19/England/ALDP-157E80D/2021|EPI_ISL_2171984|2021-05-12	2021-05-12
hCoV-19/France/BFC-HMN-21042010800/2021|EPI_ISL_2179503|2021-03-30	2021-03-30
hCoV-19/Niger/IPP10313/2021|EPI_ISL_2188485|2021-04-01	2021-04-01
hCoV-19/USA/WV-WVU-WV119148/2021|EPI_ISL_2196064|2021-04-28	2021-04-28
hCoV-19/USA/WV-WVU-WV119151/2021|EPI_ISL_2196067|2021-04-28	2021-04-28
hCoV-19/USA/WV-WVU-WV119155/2021|EPI_ISL_2196070|2021-04-28	2021-04-28
hCoV-19/Turkey/HSGM-B2201/2021|EPI_ISL_2202386|2021-03-30	2021-03-30
hCoV-19/Turkey/HSGM-B2202/2021|EPI_ISL_2202387|2021-03-30	2021-03-30
hCoV-19/USA/WV-WVU-WV119579/2021|EPI_ISL_2204512|2021-05-03	2021-05-03
hCoV-19/USA/WV-WVU-WV119572/2021|EPI_ISL_2204514|2021-05-03	2021-05-03
hCoV-19/USA/NY-PRL-2021_0519_00D18/2021|EPI_ISL_2235210|2021-05-18	2021-05-18
hCoV-19/Ireland/D-NVRL-90IRL36208/2021|EPI_ISL_2241138|2021-05-02	2021-05-02
hCoV-19/Germany/BW-RKI-I-154311/2021|EPI_ISL_2265532|2021-05-12	2021-05-12
hCoV-19/Jordan/PHBC3/2021|EPI_ISL_935041|2021-01-07	2021-01-07
hCoV-19/Denmark/DCGC-41773/2021|EPI_ISL_973450|2021-01-25	2021-01-25
hCoV-19/France/IDF-CERBAHC-20210205-S7/2021|EPI_ISL_1009673|2021-01-27	2021-01-27
hCoV-19/Ghana/NMIMR-TRA-190/2021|EPI_ISL_1018082|2021-01-13	2021-01-13
hCoV-19/Denmark/DCGC-43567/2021|EPI_ISL_1023945|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-43619/2021|EPI_ISL_1023997|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44372/2021|EPI_ISL_1024750|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44438/2021|EPI_ISL_1024816|2021-02-01	2021-02-01
hCoV-19/Italy/EMR-UOM-PVS_0021/2021|EPI_ISL_1049260|2021-02-03	2021-02-03
hCoV-19/Italy/LAZ-INMI-255/2021|EPI_ISL_1079992|2021-02-09	2021-02-09
hCoV-19/Italy/LAZ-INMI-260/2021|EPI_ISL_1079998|2021-02-14	2021-02-14
hCoV-19/Denmark/DCGC-48059/2021|EPI_ISL_1123519|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-48063/2021|EPI_ISL_1123528|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48065/2021|EPI_ISL_1123533|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48066/2021|EPI_ISL_1123535|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48929/2021|EPI_ISL_1125304|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48945/2021|EPI_ISL_1125331|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49813/2021|EPI_ISL_1126204|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50233/2021|EPI_ISL_1126624|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50256/2021|EPI_ISL_1126647|2021-02-15	2021-02-15
hCoV-19/Slovenia/57573/2021|EPI_ISL_1181833|2021-02-01	2021-02-01
hCoV-19/Slovenia/57916/2021|EPI_ISL_1181834|2021-02-01	2021-02-01
hCoV-19/Ireland/CE-NVRL-e85IRL93053/2021|EPI_ISL_1191275|2021-02-17	2021-02-17
hCoV-19/Nigeria/CV889/2021|EPI_ISL_1242009|2021-02-11	2021-02-11
hCoV-19/Nigeria/CV898/2021|EPI_ISL_1242016|2021-02-16	2021-02-16
hCoV-19/Nigeria/CV902/2021|EPI_ISL_1242018|2021-02-17	2021-02-17
hCoV-19/Nigeria/CV913/2021|EPI_ISL_1242023|2021-01-13	2021-01-13
hCoV-19/Norway/2203/2021|EPI_ISL_1251897|2021-01-22	2021-01-22
hCoV-19/Norway/2299/2021|EPI_ISL_1251906|2021-01-25	2021-01-25
hCoV-19/Norway/2340/2021|EPI_ISL_1251912|2021-01-28	2021-01-28
hCoV-19/Australia/WA635/2021|EPI_ISL_1295934|2021-03-12	2021-03-12
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5640/2021|EPI_ISL_1307906|2021-03-12	2021-03-12
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5641/2021|EPI_ISL_1307907|2021-03-13	2021-03-13
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5646/2021|EPI_ISL_1307912|2021-03-12	2021-03-12
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5648/2021|EPI_ISL_1307913|2021-03-12	2021-03-12
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5649/2021|EPI_ISL_1307914|2021-03-12	2021-03-12
hCoV-19/Italy/SIC-CQRC-20A-21010303/2021|EPI_ISL_1312063|2021-03-18	2021-03-18
hCoV-19/Belgium/rega-3888/2021|EPI_ISL_1322695|2021-02-24	2021-02-24
hCoV-19/Italy/ABR-IZSGC-161257/2021|EPI_ISL_1336083|2021-03-16	2021-03-16
hCoV-19/Italy/ABR-IZSGC-161253/2021|EPI_ISL_1336084|2021-03-16	2021-03-16
hCoV-19/Germany/RP-RKI-I-045956/2021|EPI_ISL_1353380|2021-03-12	2021-03-12
hCoV-19/USA/NC-UNC-0620/2021|EPI_ISL_1373454|2021-03-18	2021-03-18
hCoV-19/Belgium/rega-4087/2021|EPI_ISL_1380528|2021-02-25	2021-02-25
hCoV-19/USA/WV-WVU-WV090102/2021|EPI_ISL_1423213|2021-03-08	2021-03-08
hCoV-19/USA/MN-MDH-4357/2021|EPI_ISL_1423534|2021-03-16	2021-03-16
hCoV-19/Germany/NW-RKI-I-056511/2021|EPI_ISL_1440153|2021-03-17	2021-03-17
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-6539/2021|EPI_ISL_1447686|2021-03-07	2021-03-07
hCoV-19/USA/WA-UW-67073/2021|EPI_ISL_1448056|2021-03-16	2021-03-16
hCoV-19/Germany/HH-HPI-p4787/2021|EPI_ISL_1464517|2021-03-04	2021-03-04
hCoV-19/Germany/HH-HPI-p4797/2021|EPI_ISL_1464527|2021-03-04	2021-03-04
hCoV-19/Italy/TAA-IGA-1900537155/2021|EPI_ISL_1489824|2021-03-17	2021-03-17
hCoV-19/Italy/TAA-IGA-1900537262/2021|EPI_ISL_1489825|2021-03-17	2021-03-17
hCoV-19/Italy/TAA-IGA-1900541577/2021|EPI_ISL_1489832|2021-03-19	2021-03-19
hCoV-19/Norway/5565/2021|EPI_ISL_1490320|2021-03-05	2021-03-05
hCoV-19/Togo/C6153/2021|EPI_ISL_1508957|2021-02-01	2021-02-01
hCoV-19/Togo/C6771/2021|EPI_ISL_1509100|2021-02-11	2021-02-11
hCoV-19/USA/WA-UW-68525/2021|EPI_ISL_1523803|2021-03-23	2021-03-23
hCoV-19/USA/WA-UW-68575/2021|EPI_ISL_1523849|2021-03-22	2021-03-22
hCoV-19/USA/WA-UW-69202/2021|EPI_ISL_1523891|2021-03-25	2021-03-25
hCoV-19/Italy/TAA-IGA-1900544936/2021|EPI_ISL_1545675|2021-03-23	2021-03-23
hCoV-19/Italy/TAA-IGA-1900544274/2021|EPI_ISL_1545676|2021-03-23	2021-03-23
hCoV-19/Italy/TAA-IGA-1900544891/2021|EPI_ISL_1545683|2021-03-23	2021-03-23
hCoV-19/Italy/TAA-IGA-1900544055/2021|EPI_ISL_1545691|2021-03-23	2021-03-23
hCoV-19/Italy/TAA-IGA-1900545946/2021|EPI_ISL_1545697|2021-03-24	2021-03-24
hCoV-19/Italy/TAA-IGA-1900546057/2021|EPI_ISL_1545698|2021-03-24	2021-03-24
hCoV-19/Germany/NW-RKI-I-059228/2021|EPI_ISL_1563882|2021-03-17	2021-03-17
hCoV-19/USA/WV-WVU-WV064543/2021|EPI_ISL_1624779|2021-04-05	2021-04-05
hCoV-19/Switzerland/SZ-ETHZ-540337/2020|EPI_ISL_1654183|2021-03-16	2021-03-16
hCoV-19/USA/WA-UW-2021041101070/2021|EPI_ISL_1670824|2021-04-11	2021-04-11
hCoV-19/Italy/TAA-1900557584/2021|EPI_ISL_1672821|2021-04-07	2021-04-07
hCoV-19/Italy/TAA-1900557958/2021|EPI_ISL_1672825|2021-04-07	2021-04-07
hCoV-19/Italy/TAA-1900557968/2021|EPI_ISL_1672827|2021-04-07	2021-04-07
hCoV-19/USA/WV-CDC-2-4122943/2021|EPI_ISL_1695937|2021-03-23	2021-03-23
hCoV-19/France/IDF-HMN-21032080034/2021|EPI_ISL_1695986|2021-02-23	2021-02-23
hCoV-19/USA/NC-CDC-LC0041624/2021|EPI_ISL_1701870|2021-03-31	2021-03-31
hCoV-19/USA/OH-CDC-LC0043149/2021|EPI_ISL_1701871|2021-04-09	2021-04-09
hCoV-19/USA/SC-CDC-LC0044330/2021|EPI_ISL_1701875|2021-04-10	2021-04-10
hCoV-19/Germany/HH-HPI-p5203/2021|EPI_ISL_1716121|2021-03-15	2021-03-15
hCoV-19/Ireland/D-NVRL-22IRL18385/2021|EPI_ISL_1731352|2021-04-12	2021-04-12
hCoV-19/France/IDF-HMN-21042080348/2021|EPI_ISL_1755791|2021-04-06	2021-04-06
hCoV-19/France/IDF-HMN-21042160481/2021|EPI_ISL_1756612|2021-04-13	2021-04-13
hCoV-19/France/IDF-HMN-21042160531/2021|EPI_ISL_1756631|2021-04-13	2021-04-13
hCoV-19/France/IDF-HMN-21042160506/2021|EPI_ISL_1756637|2021-04-13	2021-04-13
hCoV-19/India/TG-CCMB-BN426/2021|EPI_ISL_1838837|2021-04-02	2021-04-02
hCoV-19/India/TG-CCMB-BN434/2021|EPI_ISL_1838838|2021-04-02	2021-04-02
hCoV-19/India/TG-CCMB-BN885/2021|EPI_ISL_1838848|2021-04-06	2021-04-06
hCoV-19/India/TG-CCMB-BN921/2021|EPI_ISL_1838857|2021-04-07	2021-04-07
hCoV-19/India/TG-CCMB-BN922/2021|EPI_ISL_1838858|2021-04-07	2021-04-07
hCoV-19/India/TG-CCMB-BO378/2021|EPI_ISL_1838859|2021-04-08	2021-04-08
hCoV-19/Italy/TAA-IGA-1900567600/2021|EPI_ISL_1840705|2021-04-19	2021-04-19
hCoV-19/Italy/TAA-IGA-1900569217/2021|EPI_ISL_1840706|2021-04-20	2021-04-20
hCoV-19/Italy/TAA-IGA-1900569215/2021|EPI_ISL_1840707|2021-04-20	2021-04-20
hCoV-19/Germany/un-RKI-I-096911/2021|EPI_ISL_1843336|2021-04-06	2021-04-06
hCoV-19/Germany/un-RKI-I-096918/2021|EPI_ISL_1843342|2021-04-06	2021-04-06
hCoV-19/Germany/BE-RKI-I-096930/2021|EPI_ISL_1843353|2021-04-20	2021-04-20
hCoV-19/Germany/un-RKI-I-096938/2021|EPI_ISL_1843356|2021-04-15	2021-04-15
hCoV-19/Germany/un-RKI-I-096941/2021|EPI_ISL_1843359|2021-04-14	2021-04-14
hCoV-19/Germany/BY-RKI-I-101273/2021|EPI_ISL_1846811|2021-03-13	2021-03-13
hCoV-19/Germany/BE-RKI-I-101924/2021|EPI_ISL_1847318|2021-04-21	2021-04-21
hCoV-19/Germany/BE-RKI-I-101939/2021|EPI_ISL_1847330|2021-04-12	2021-04-12
hCoV-19/Germany/RP-RKI-I-102397/2021|EPI_ISL_1847724|2021-04-16	2021-04-16
hCoV-19/Germany/BE-RKI-I-102398/2021|EPI_ISL_1847725|2021-04-21	2021-04-21
hCoV-19/Germany/BE-RKI-I-102402/2021|EPI_ISL_1847729|2021-04-14	2021-04-14
hCoV-19/Germany/BE-RKI-I-102408/2021|EPI_ISL_1847734|2021-04-16	2021-04-16
hCoV-19/Denmark/DCGC-54476/2021|EPI_ISL_1862904|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-54482/2021|EPI_ISL_1862910|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54486/2021|EPI_ISL_1862914|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54487/2021|EPI_ISL_1862915|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-54488/2021|EPI_ISL_1862916|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54493/2021|EPI_ISL_1862921|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-54494/2021|EPI_ISL_1862922|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54501/2021|EPI_ISL_1862929|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54509/2021|EPI_ISL_1862937|2021-03-08	2021-03-08
